Source	Ort	Lage	Typ	Anmerkung	Seit	lat	lon	PLZ	Stadtbezirk	Kreis	Land	BL	Kanton
de.wiki_in_Bayern	Abensberg	 Am Bahnhof	rot gestrichene Telefonzelle		Aug. 2019	48.819333	11.84697	93326					
de.wiki_in_Bayern	Aidenbach	Marktplatz 55	Bücherschrank	im Vorraum beim Werbezentrum123jeden Tag 24 Stunden geöffnetleider kein barrierefreier Zugangprivate Initiative von Antonia Zoch und Karl Heinz Forster	Mär. 2020			94501					
de.wiki_in_Bayern	Altdorf bei Nürnberg	 Am Schlossplatz	Bücherschrank	Bücherschrank Schlossplatz[1]	Juli 2017	49.3848	11.3546	90518					
de.wiki_in_Bayern	Amberg	Georgenstraße 55	Bücherschrank	[2]	Nov. 2018	49.444133	11.852531	92224					
de.wiki_in_Bayern	Aschaffenburg	 Café Schwarzer Riese, Roßmarkt 38a[5]	Bücherregal	Zugleich Bookcrossing-Zone,[6] zu den Öffnungszeiten des Cafés zugänglich	12. Dez. 2008			63739					
de.wiki_in_Bayern	Aschaffenburg	 Haltepunkt 5 am Regionalen Omnibusbahnhof	Bücherschrank	Zugleich Bookcrossing-Zone[3]	Okt. 2010	49.98	9.1407	63739					
de.wiki_in_Bayern	Aschaffenburg	 Im Eingangsbereich des Evangelischen Jugendzentrums auf der rechten Seite	Bücherschrank	Zugleich Bookcrossing-Zone[4] Offen Dienstag 13–18 Uhr, Donnerstag 13–21 Uhr, Freitag 14:30–21 Uhr; barrierefrei zugänglich	Nov. 2013	49.9733	9.15131	63739					
de.wiki_in_Bayern	Augsburg	 Hofgarten, hinter dem Dom	Vitrine	Gefördert durch die Augsburger Müller-Spengler-Stiftung. Der Hofgarten ist von April bis Oktober tagsüber von 8 bis 21 Uhr zugänglich, im Winter bleibt er geschlossen; barrierefreier Zugang	22. Juli 2003	48.372533	10.8935	86152					
de.wiki_in_Bayern	Bad Grönenbach	 An einer Straßenkreuzung gegenüber einem Parkplatz neben einer Wanderkarte; Adresse: Rothenstein 2a	Holzschrank	„Projektfonds Aktive Zentren“ der Städtebauförderung in Bayern	11. Apr. 2015	47.86706	10.20267	87730					
de.wiki_in_Bayern	Baiersdorf	vor dem Haus Apothekengäßchen 1	Bücherschrank		01. Okt. 2016	49.6568	11.0315	91083					
de.wiki_in_Bayern	Bamberg	 Austraße 14 im Eingangsbereich des Hofcafés	Bücherregal	Barrierefreier Zugang				96047					
de.wiki_in_Bayern	Bamberg	 Gartenstädter Markt	Rote Telefonzelle	Gefördert und betreut vom Bürgerverein Gartenstadt und der Stadtbücherei	Apr. 2016			96052					
de.wiki_in_Bayern	Bamberg	 Mitten in Bamberg, vor der Teilbibliothek 5 am Kranen	Bücherschrank	Barrierefreier Zugang _ Ins Leben gerufen wurde er von Andrea Bartl, Professorin für Neuere Deutsche Literaturwissenschaft, zusammen mit Bamberger Germanistik-Studierenden. Finanziert wurde der Bücherschrank durch Spenden des Rotary Clubs Bamberg-Schloss Geyerswörth.[7]	Juni 2017	49.892833	10.886333	96047					
de.wiki_in_Bayern	Bamberg	 Rathaus Maxplatz, 3. Stock, direkt vor Zimmer 317	Bücherschrank	Zugänglich zu Öffnungszeiten des Rathauses Mo–Do 7:00 bis 18:00 Uhr und Freitag 7:00 bis 14:00 Uhr; barrierefrei erreichbar über Aufzug	Mär. 2013			96047					
de.wiki_in_Bayern	Bamberg	 Schloss Geyerswörth	Bücherregal	Barrierefreier Zugang	Apr. 2015			96047					
de.wiki_in_Bayern	Bamberg	Dr.-von-Schmitt-Str. 19	Bücherschrank	Barrierefrei _ Zugänglich zu Öffnungszeiten des Cafés integra MENSCH _ Mo–Fr 8:00 bis 15:00	Jan. 2020			96050					
de.wiki_in_Bayern	Bamberg	Graf Stauffenberg Platz _ links neben Edeka – Markt	Bücherschrank	Barrierefrei mit Sitzmöglichkeit daneben				96047					
de.wiki_in_Bayern	Bayreuth	 Luitpoldplatz, zwischen Sparkasse und Rathausbrunnen	Bücherschrank	Barrierefreier Zugang[8]	2007	49.946367	11.576733	95444					
de.wiki_in_Bayern	Breitengüßbach	 Brunnenplatz Zückshut – die Zelle soll jährlich den Standort wechseln und wird daher auch die Ortsteile Hohengüßbach und Unteroberndorf erreichen.	Telefonzelle	Betreut durch die Gemeindebücherei Breitengüßbach	Mai 2018			96149					
de.wiki_in_Bayern	Buchdorf	 Johannes-Kraus-Straße bei der Feuerwehr	Telefonzelle	[9]	23. Apr. 2017			86675					
de.wiki_in_Bayern	Burghausen	 Am Bichl in der Altstadt (an der Türe rechts)	Bücherschrank	Bücherschrank im Café am Bichl, Burghausen. Öffnungszeiten: täglich 9 bis 24 Uhr; Mittwoch Ruhetag	2017	48.1558	12.83102	84489					
de.wiki_in_Bayern	Burghausen	 Im Wöhrseebad direkt beim Eingang	Bücherschrank	Bücherschrank im Wöhrseebad, Burghausen, betrieben von der Stadtbibliothek Burghausen. Öffnungszeiten zu den Schwimmzeiten in der warmen Jahreszeit	2017	48.1564	12.82721	84489					
de.wiki_in_Bayern	Cham	 Marktplatz	Bücherschrank	Barrierefreier Zugang. Gefördert und betreut von der Stadtbibliothek Cham.[10]	Aug. 2016			93413					
de.wiki_in_Bayern	Coburg	 Am Albertsplatz in der Nähe der Bushaltestelle	Bücherschrank	Barrierefreier Zugang	Aug. 2015	50.256497	10.96354	96450					
de.wiki_in_Bayern	Coburg	 Am Theaterplatz neben dem Landestheater	Bücherschrank	Barrierefreier Zugang	Dez. 2011	50.2598127	10.9667415	96450					
de.wiki_in_Bayern	Collenberg		Bücherschrank	Im Treppenhaus des Rathauses befindet sich ein öffentlicher Bücherschrank.				97903					
de.wiki_in_Bayern	Creußen	 Vor dem neuen Rathaus	Telefonzelle	Betreut durch die VHS	2014	49.845933	11.62635	95473					
de.wiki_in_Bayern	Deggendorf	 Pfleggasse 23	Bücherbaum (Baumstamm) mit Glastür und Dach	Gespendet vom Kunstverein Deggendorf e. V. und Sponsoren, betreut von Freiwilligen (Bücherbaumpaten)	11. Mai 2016	48.8335	12.964183	94469					
de.wiki_in_Bayern	Dietmannsried	 Freibad Dietmannsried, Laubener Straße	Bücherregal	Im Freibad zu den Öffnungszeiten	2015			87463					
de.wiki_in_Bayern	Dietmannsried	 Rathaus Dietmannsried, Rathausplatz 3	Bücherregal	Im Rathaus zu den Öffnungszeiten	2015			87463					
de.wiki_in_Bayern	Donauwörth	 Museumsplatz im Ried	Bücherregal	Vitrine[11]	Sep. 2016			86609					
de.wiki_in_Bayern	Dorfen	 _ Terofalstraße Dorfen	Bücherregal	Befestigt am Gartenzaun, 24h zugänglich	Juni 2019	48.268989	12.152948	84405					
de.wiki_in_Bayern	Durach	 Gegenüber der Sparkasse, Kirchenweg 1	Telefonzelle	Umbau und künstlerische Gestaltung durch Schüler[12]	13. Mai 2017	47.697031	10.344815	87471					
de.wiki_in_Bayern	Egg an der Günz	Dr.-Eck-Platz 1	Holzhaus		Juni 2018[13]	48.086655	10.284973	87743					
de.wiki_in_Bayern	Eichenau	 Bahnhofsvorplatz	Telefonzelle	Betreut vom örtlichen Förderverein für kulturelle Bildung[14]	2017	48.17902	11.32836	82223					
de.wiki_in_Bayern	Eichstätt	 Kollegiengebäude I / Bau C, Studihaus, Ostenstraße 26	Bücherschrank	Bücherschrank des Studentischen Konvents der Katholischen Universität Eichstätt-Ingolstadt[15]; zugänglich Montag bis Freitag zwischen 7 und 22 Uhr	2014	48.888194	11.190209	85072					
de.wiki_in_Bayern	Eichstätt	 Stadtbahnhof, Am Anger 1	Telefonzelle	jederzeit zugänglich	2017	48.893048	11.180101	85072					
de.wiki_in_Bayern	Englmannsberg bei Reisbach	Dingolfinger Str. 94	Bananenkiste	initiiert und betreut von Christian Hubl	Nov. 2019	48.588432	12.61503	94419					
de.wiki_in_Bayern	Erlangen	 Vor Nürnberger Straße 4, Nähe ehemaliges Nürnberger Tor	BOKX 02 (Basalt/Stahl/ESG)	Gefördert durch den Lions Club	10. Okt. 2012	49.59433	11.00515	91052					
de.wiki_in_Bayern	Erlangen	Kulturzentrum E-Werk, Fuchsenwiese 1	Bücherschrank	Gestaltet vom Erlanger Künstler Dieter Erhard[16]	12. Okt. 2012	49.6007	11.00182	91054					
de.wiki_in_Bayern	Feucht	Hauptstraße, im Barockgarten des Tucherschlosses	Bücherschrank	Gemeindebücherei Markt Feucht mit Unterstützung durch die Buchhandlung Kuhn in Feucht	Aug. 2010[17]	49.373883	11.213483	90537					
de.wiki_in_Bayern	Freilassing	Gewerbegasse 5-6	Bücherschrank (Tortenvitrine)	Neben dem Bioladen, rund um die Uhr zugänglich.	2019			83395					
de.wiki_in_Bayern	Friedberg (Bayern)	Ludwigstraße, vor St. Jakob	Bücherschrank (Stahl, ESG)	Eine Initiative von Wolfram Grzabka und Gabriela Palm, gestiftet von der Friedberger Werbeagentur „grzabka creative“, Bücher-Erstausstattung durch die „deVega Medien GmbH“	06. Nov. 2015	48.354983	10.979967	86316					
de.wiki_in_Bayern	Fürth	Dr.-Konrad-Adenauer-Anlage	Bücherschrank	Initiiert vom Kulturamt der Stadt Fürth; betreut vom Kulturamt und Paten	Juli 2019	49.473017	10.991233	90762					
de.wiki_in_Bayern	Fürth	Foyer im Kulturforum Fürth	Bücherregal		2012			90762					
de.wiki_in_Bayern	Fürth	Gustavstraße 54	Bücherschrank	Initiiert und betreut vom Kulturamt der Stadt Fürth	2014	49.479733	10.987717	90762					
de.wiki_in_Bayern	Gilching	Am Markt, vor dem Café Reis[18]	Bücherschrank	Initiiert von einer Bäckerei	02. Jan. 2007			82205					
de.wiki_in_Bayern	Haar	Münchener Straße 3	Bücherregal	Koordinaten fehlen! Hilf mit.In der Volkshochschule Haar, zugänglich zu deren Öffnungszeiten[19]	01. Okt. 2014			85540					
de.wiki_in_Bayern	Hafenlohr	Hauptstrasse 9, ehemalige Raiffeisenbank-Filiale mit noch bestehendem Geldautomaten, dadurch jederzeit zugänglich	Bücherregal	Danke an die Initiatoren!	2018			97840					
de.wiki_in_Bayern	Haiming	Im Ortsteil Eisching, an der Straße mit einer Bank	Bücherzelle	Initiiert von einer Familie	2016	48.2295226	12.867797	84533					
de.wiki_in_Bayern	Hammelburg	Am Sportzentrum 8	Telefonzelle „lesbar“	Organisiert von der Stadtbibliothek Hammelburg; nur während des Freibadbetriebes zugänglich	Juli 2014			97762					
de.wiki_in_Bayern	Hammelburg	Bahnhofstraße 2	Kleinstbibliothek minibib 1	Initiiert von der Stadtbibliothek Hammelburg	Juli 2015			97762					
de.wiki_in_Bayern	Hammelburg	Westheim, gegenüber Feuerwehrhaus	Kleinstbibliothek minibib 2	Initiiert von der Stadtbibliothek Hammelburg	Juli 2015			97762					
de.wiki_in_Bayern	Hausen (bei Aschaffenburg)	Hauptstraße 74	alter Kühlschrank			49.869917	9.209495	63840					
de.wiki_in_Bayern	Hof (Saale)	Dr.-Wirth-Platz	Bücherregal		18. Apr. 2015			95028					
de.wiki_in_Bayern	Hof (Saale)	Fabrikzeile 21	Bücherregal	Im Bildungszentrum der VHS Landkreis Hof mit Sitzgelegenheiten und Getränken	01. Okt. 2012			95028					
de.wiki_in_Bayern	Hohenpeißenberg	wechselnde Standorte	Telefonzelle	Nur in den Sommermonaten, wird betreut durch die Gemeinde- und Pfarrbücherei [20]	2016			82383					
de.wiki_in_Bayern	Hohenthann	 Rottenburger Straße / Ecke Gambacher Straße	Gelbe Telefonzelle	Initiiert, aufgestellt und betreut von der Hohenthanner Bürger- und Umweltliste (H-BUL)[21]	22. Okt. 2017	48.65955	12.09301	84098					
de.wiki_in_Bayern	Illertissen	Auf dem Parkplatz des Museums der Gartenkultur, Jungviehweide	Ehemaliges Bienenhaus	Betreiber ist die Stiftung Gartenkultur[22] Öffnungszeiten in den warmen Monaten 9–18 Uhr	2010			89257					
de.wiki_in_Bayern	Kammerstein	Rathausplatz (seitlich der Feuerwehr) im Kammersteiner Kultur-Kasten	Weißes „Billy“-Regal	Geöffnet außer an kritischen Tagen (Walpurgisnacht, Halloween)	05. Sep. 2013	49.292336	10.970125	91126					
de.wiki_in_Bayern	Karlsfeld		Weißes Bücherregal	Volkshochschule Karlsfeld, Mittelschule Karlsfeld, 3. Stock, vor dem vhs-Büro (Raum 307) werktäglich von 08:00 – 21:00 Uhr zugänglich, auch Bookcrossing-Zone	2015			85757					
de.wiki_in_Bayern	Karlstadt		Telefonzelle	Offener Bücherschrank am Marktplatz	2017	49.961264	9.764014	97753					
de.wiki_in_Bayern	Kelheim	Regensburger Straße 15	Holzschrank mit Glastüren	ist auch als Offizielle Bookcrossing-Zone registriert[23]	03. Juli 2019	48.90891	11.88183	93309					
de.wiki_in_Bayern	Kelheim	Wohnmobilstellplatz am Pflegerspitz	weinrot gestrichene Telefonzelle			48.914967	11.876533	93309					
de.wiki_in_Bayern	Kempten (Allgäu)	 Beginenhaus, Burgstraße 3	Bücherschrank	Förderverein Beginenhaus Kempten e. V., eingebaut in einem ehemaligen Schaufenster des Beginenhauses[24]	17. Okt. 2012	47.724556	10.321972	87439					
de.wiki_in_Bayern	Kirchheim bei München	 Pfarrer-Caspar-Mayr-Platz	Bücherschrank		04. Juli 2019	48.176565	11.755347	85551					
de.wiki_in_Bayern	Kronach	Marienplatz	BOKX 01 COR-TEN-Stahl/ESG	Gefördert durch den Lions Club	2009			96317					
de.wiki_in_Bayern	Lappersdorf	Am Silbergarten 6, 93138 Lappersdorf	Bücherregal	Im Foyer der DAV Kletterkletterhalle	?			93138					
de.wiki_in_Bayern	Lauf a.d. Pegnitz	Ecke Höllgasse/Johannisstrasse; an der Pegnitzbrücke mit Schlossblick	Bücherschrank	betreut von den Altstadtfreunden Lauf	26. Sep. 2016[25]	49.5103	11.280833	91207					
de.wiki_in_Bayern	Leidersbach	Nähe Bücherei	Telefonzelle		Juli 2017	49.901504	9.225806	63849					
de.wiki_in_Bayern	Lichtenberg (Oberfranken)	Ferienpark	Holzhaus		Juni 2015			95192					
de.wiki_in_Bayern	Lohr am Main	Stadtpark	Telefonzelle					97816					
de.wiki_in_Bayern	Ludwigsstadt	Marktplatz	BOKX 01 COR-TEN-Stahl/ESG	Gefördert durch den Lions Club	2009			96337					
de.wiki_in_Bayern	Marktheidenfeld	Busbahnhof Adenauerplatz[26]	Ehemalige Schließfächer		2011	49.8444	9.603133	97828					
de.wiki_in_Bayern	Meitingen	Schloßstraße 2	Bücherregal	Foyer der Bücherei Meitingen, während der Öffnungszeiten Mo. und Do. 15:00–19:00 sowie Di. und Fr. 10:00–14:00	2012			86405					
de.wiki_in_Bayern	Miesbach	Parkplatz neben dem Maibaum (am Brunnen)	Ehemalige Telefonzelle	eingerichtet durch die Stadt Miesbach, Telefonzelle gestiftet vom Lions-Club	2018			83714					
de.wiki_in_Bayern	Mindelheim	Lautenwirtsgäßchen, im Stadtpark „Schwesterngarten“	Bücherschrank	Eingerichtet durch den Literatursalon Mindelheim[27] Öffnungszeiten des Parks: März–Oktober, 08:00–20:00 Uhr	Sep. 2014	48.0500414	10.4920496	87719					
de.wiki_in_Bayern	Mittergars	Schulstraße 1	Bücherecke	Dorfladen	2017			83559					
de.wiki_in_Bayern	Mühlbach (Dietfurt an der Altmühl)	Auf dem Kirchplatz in der Ortsmitte, neben dem Mühlbach	Holzhaus	Initiiert durch Erika Hladky, umgesetzt mit Hilfe von Bernhard May (Ortssprecher Mühlbach) und Dieter Gebelein (KGM)	Apr. 2013	49.021944	11.61705	92345					
de.wiki_in_Bayern	München-Allach	Franz-Nißlstraße 41, 80999 München	Bücherschrank	Öffentlicher Bücherschrank im Vollcorner BIO-Markt Öffnungszeiten: Mo – Sa 08 – 20 Uhr	2017	48.1913074	11.4628469446262	80999					
de.wiki_in_Bayern	München-Au	Am Herrgottseck 2, Zugang über die Sammtstraße (Fußweg)	Bücherschrank	Bürgerinitiative	Feb. 2017	48.12721	11.58482	81669					
de.wiki_in_Bayern	München-Bogenhausen	 Cosimastraße 5, neben dem Cosimawellenbad[28]	Bücherschrank	Öffentliche Bücherschränke Bogenhausen e. V.[29]	03. Okt. 2017	48.154821	11.62943	81925					
de.wiki_in_Bayern	München-Giesing	Tegernseer Landstraße 155/ Spixstraße, vorm Spix, Mini-Museum für Poesie	Bücherschrank	Poesieboten e.V.	07. Sep. 2019			81539					
de.wiki_in_Bayern	München-Haidhausen	Wörthstraße 42	Bücherschrank	Betrieben durch das „Haus der Eigenarbeit“[30] Öffnungszeiten: Di–Fr 15–21 Uhr und Sa 12–18 Uhr	2014	48.1289	11.602271	81667					
de.wiki_in_Bayern	München-Isarvorstadt	Ehrengutstraße 15	Bücherschrank	Glockenbachwerkstatt e. V.[31]	21. Juli 2018	48.121322	11.560311	80469					
de.wiki_in_Bayern	München-Laim	 Agnes-Bernauer-Straße 89	Bücherschrank	Initiativgruppe Bücherschrank [32]	26. Juli 2018	48.139528	11.499917	80687					
de.wiki_in_Bayern	München-Maxvorstadt	 Rudi-Hierl-Platz	Bücherschrank	Träger: Offene Bücherschränke Maxvorstadt e. V.[33]	28. Juli 2018	48.148569	11.55903	80333					
de.wiki_in_Bayern	München-Maxvorstadt	77861180800<U+2660>  2012	Abgängig seit 11. Juli 2016	Koordinaten fehlen! Hilf mit. Akademiestraße, auf der Bookbench _ 11.51018-->				Metallkoffer					
de.wiki_in_Bayern	München-Moosach	 Bunzlauerstraße 46	Bücherschrank	Träger: Kulturverein DIE LINIE 1	2016	48.180963	11.510188	80992					
de.wiki_in_Bayern	München-Neuhausen	 Waisenhaus-/ Ecke Ruffinistraße	Bücherschrank	[34]	01. Juli 2018	48.156594	11.531477	80637					
de.wiki_in_Bayern	München-Pasing	 Rathausplatz vor dem Rathaus Pasing	Bücherschrank	Träger: Kulturforum München-West e. V.	23. Apr. 2016	48.146848	11.461815	81241					
de.wiki_in_Bayern	München-Ramersdorf	 Berger-Kreuz-Straße gegenüber Hausnummer 59	Bücherschrank	Kleines Bücherschrankerl		48.1115	11.627	81735					
de.wiki_in_Bayern	München-Schwabing	 Nordbad, an der Ecke Schleißheimer-/Elisabethstraße	Bücherschrank	offene Bücherschränke Schwabing-West e. V.[35]	13. Dez. 2013	48.160034	11.563382	80797					
de.wiki_in_Bayern	München-Schwabing-West	 Quartier Ackermannboden, Petra-Kelly-Straße	Bücherschrank	offene Bücherschränke Schwabing-West e. V.[36]	28. Aug. 2017[37]	48.163686	11.556622	80797					
de.wiki_in_Bayern	München-Schwanthalerhöhe	 Ligsalzstraße 13	Bücherschrank	Lesecafé Westend[38]	24. Mär. 2018	48.137093	11.5424	80339					
de.wiki_in_Bayern	München-Sendling-Westpark	 Partnachplatz	Bücherschrank	Träger: Offene Bücherschränke Sendling-Westpark e. V., gefördert vom Bezirksausschuss 7 Sendling Westpark[39][40]	09. Juli 2016	48.11681	11.52661	81373					
de.wiki_in_Bayern	München-Solln	 Herterichstraße	Bücherschrank		07. Dez. 2019	48.0782988	11.5077831	81477					
de.wiki_in_Bayern	München-Thalkirchen	 Thalkirchner Platz	Bücherschrank	Träger: Offene Bücherschränke im 19. Stadtbezirk e. V.[41]	26. Aug. 2017	48.100773	11.54712	81371					
de.wiki_in_Bayern	München-Untergiesing	 Sachsenstraße 2 (in der Baumschule Bischweiler)	Bücherbox	Kleine Bücherbox vor dem Giftgarten in der Baumschule Bischweiler	2016	48.1191	11.56571	81543					
de.wiki_in_Bayern	München Waldperlach	auf dem Waldheimplatz in 81739 München Waldperlach, auf der Raseninsel gegenüber Waldheimplatz Nr. 60	Bücherschrank	Initiator und „Betreiber“ ist der Verein „Leben in Waldperlach – Verein für nachbarschaftliches Leben in Waldperlach e.V.“.	Mär. 2019			81739					
de.wiki_in_Bayern	Murnau am Staffelsee	 Am Forsteranger (Parkplatz)	Bücherschrank	Projekt der 5. Ganztagesklasse der Christoph-Probst-Mittelschuleder Künstler Johannes Volkmann und Nana Klaas[42]	08. Okt. 2019	47.679253	11.203375	82418					
de.wiki_in_Bayern	Naila	Albin-Klöber-Straße 11	Telefonzelle	Vor der Grundschule	Juli 2014			95119					
de.wiki_in_Bayern	Naila	Marktplatz 8, neben dem Rathaus	Bücherregal	Im Foyer der m8-Diakonie am Marktplatz Montag bis Donnerstag ganztägig geöffnet, Freitag unregelmäßig besetzt	Mär. 2014			95119					
de.wiki_in_Bayern	Neuburg an der Donau	Spitalplatz	Bücherschrank	Beleuchteter gläserner Bücherschrank	2018	48.735917	11.184611	86633					
de.wiki_in_Bayern	Neuried (bei München)	 Marktplatz	Telefonzelle	Gestiftet von Bündnis 90/Die Grünen Neuried[43]Betreut von der Bücherei und den Grünen|| style="text-align:right" |78111232000<U+2660> Juni 2018				82061					
de.wiki_in_Bayern	Nördlingen	 Fußgängerzone / Löpsinger Straße	Metallschrank mit Sicherheitsglas	Initiative des Stadtmarketingvereins[44]	Mai 2015	48.852683	10.4908	86720					
de.wiki_in_Bayern	Nürnberg-Altenfurt Nord	 TSV Altenfurt	Bücherregal			49.409598	11.164191	90475					
de.wiki_in_Bayern	Nürnberg-Altstadt (St. Sebald)	 Egidienplatz	Bücherschrank	Aufgestellt von der Bürgerstiftung Nürnberg	29. Apr. 2016	49.45675	11.0813	90403					
de.wiki_in_Bayern	Nürnberg-Bärenschanze	 Veit-Stoß-Platz	Bücherregal	Aufgestellt von der Bürgerstiftung Nürnberg	21. Juli 2014	49.451485	11.053314	90429					
de.wiki_in_Bayern	Nürnberg-Dutzendteich	 Eingangsbereich des Gutmann am Dutzendteich	Bücherregal	nur zu den Öffnungszeiten zugänglich		49.435283	11.116664	90478					
de.wiki_in_Bayern	Nürnberg-Eberhardshof	 Leiblsteg	Telefonzelle	Aufgestellt von der Bürgerstiftung Nürnberg	22. Juni 2016	49.457553	11.027817	90431					
de.wiki_in_Bayern	Obernburg am Main	An der Mainbrücke	Metallschrank	LeseZeichen – Förderverein der Stadtbücherei Obernburg e. V.[45]	10. Mai 2018	49.841602	9.149052	63785					
de.wiki_in_Bayern	Oberschleißheim	Am Hirtenbrunnen (Nordseite S-Bahnhof)	Bücherschrank (angemalt als Buch)	Projektgruppe der „Lokalen Agenda 21 Kinder & Jugend“	Juli 2014	48.258267	11.55745	85764					
de.wiki_in_Bayern	Obertraubling	 Regensburger Straße, Bushaltestelle an der Kirche	Metallregal mit Plexiglas, integriert in Buswartehäuschen	Bund für Umwelt und Naturschutz Deutschland Ortsgruppe Obertraubling[46]	Mai 2018	48.966833	12.165533	93083					
de.wiki_in_Bayern	Pielenhofen	Klosterstraße 10, ehem. Kloster Pielenhofen; Marktplatz	Telefonzelle	Aufgestellt von der Gemeinde Pielenhofen	Mai 2019			93188					
de.wiki_in_Bayern	Pondorf (Altmannstein)	 Windener Straße (Bushäuschen)		„Buch-Haltestelle“, initiiert und aufgebaut durch Gerhard Strobel, Pondorf	Nov. 2013	48.943586	11.563025	93336					
de.wiki_in_Bayern	Possenhofen (Pöcking)	Steg 1  _ Kurt-Stieler-Straße 58 _ 82343 Possenhofen _ Beach-Bar und Kiosk direkt am Starnberger See	Ehemaliger Kühlschrank (entkernt)	Aufgestellt auf Eigeninitiative von der Gruppe "Starnberger Bücherschrank". _ Bemalt von Anja Moritz	Juli 2019	47.9649254	11.3205983	82343					
de.wiki_in_Bayern	Regensburg	Im unteren Foyer der Zentralbibliothek (Ebene 5)	Bücherregal	Universität Regensburg, zugleich Bookcrossing-Zone	Mär. 2012			93053					
de.wiki_in_Bayern	Regensburg	Seybothstraße 2, im Eingangsbereich der Bibliothek	Bücherregal	Bibliothek der Hochschule Regensburg (Mo–Fr 08:00–22:00 Uhr, Sa 09:00–20:00 Uhr), zugleich Bookcrossing-Zone	Aug. 2011			93053					
de.wiki_in_Bayern	Regensburg	Wahlenstraße 17, 93047 Regensburg	Bücherregal	Im Zwischenbereich von Cafe und PopUp-Workshop-Raum vom Degginger	?			93047					
de.wiki_in_Bayern	Regensburg-Stadtamhof	Beim Andreasstadl	Telefonzelle	Eingerichtet von Studenten der OTH Regensburg[47]	Jan. 2017	49.024083	12.100583	93059					
de.wiki_in_Bayern	Reichertshausen a.d. Ilm	Inselweg 1	Rechtes Bücherregal beim Empfang: Bücher zu verschenken (linkes Regal: Bücher zum Verkauf)	Gemeindebücherei. Öffnungszeiten beachten: _ Di 16-19 h, Mi 9-12 h, Fr 15-19 h, Sa 10-13 h.				85293					
de.wiki_in_Bayern	Riegsee	 Gemeindeamt Riegsee, Dorfstr. 35	Telefonzelle	Kinder-Ferienprojekt der Initiatoren Jörg Steinleitner und Johannes Volkmann	Aug. 2016[48]	47.699225	11.2342	82418					
de.wiki_in_Bayern	Röthenbach an der Pegnitz	Vor dem Mehrgenerationenhaus	Offener Schrank	Stadtzentrum	2011			90552					
de.wiki_in_Bayern	Saal an der Donau, Ortsteil Mitterfecking	Saaler Straße	Gemauertes Bücherhäuschen	neben einer Bushaltestelle	Juli 2015[49]	48.878233	11.94795	93342					
de.wiki_in_Bayern	Schönau (Rottal)	Baron-Riederer-Straße 18[50]	rot gestrichener Verteilerkasten					84337					
de.wiki_in_Bayern	Schongau	Marienplatz beim Finanzamt[51]	Gelbe Telefonzelle		29. Nov. 2014			86956					
de.wiki_in_Bayern	Schrobenhausen	Beim Duftgarten, In der Lachen.	Bücherschrank	„LesePunkt“ heißt der erste öffentliche Bücherschrank der Region	Mai 2016			86529					
de.wiki_in_Bayern	Schwabach		Künstlerisch gestaltetes Büchertausch-Regal tauschmich	Im Foyer der örtlichen Stadtbibliothek[52][53]	2011			91126					
de.wiki_in_Bayern	Schwabach	Markgrafenstraße 12, Schwabach	Bücherregal	Regal im Eingangsbereich der Sparkasse im Ortsteil Unterreichenbach	2017			91126					
de.wiki_in_Bayern	Schwabbruck	Dorfstraße Ecke Ingenriederstraße	alte Telefonzelle	zugleich Bookcrossing-ZoneWebseite: https://www.buchhaltezelle.de/täglich 7-22 Uhr	Dez. 2019	47.82558	10.83405	86986					
de.wiki_in_Bayern	Schwabmünchen	 Holzheystraße 18, beim Eingang der Stadtbücherei[54]	Telefonzelle		Dez. 2017	48.180889	10.76178	86830					
de.wiki_in_Bayern	Schwarzenbach am Wald	Zeppelinstraße, Obergeschoss über dem Landgasthaus Döbraberg	Bücherregal	Im Vorraum der Stadtbücherei Dienstag 15:00–17:00 Uhr, Donnerstag 15:00–18:30 Uhr	Mär. 2013			95131					
de.wiki_in_Bayern	Schweinfurt	Zeughausplatz	Telefonzelle	Zeughaus	Dez. 2015			97421					
de.wiki_in_Bayern	Sonthofen	Fußgängerzone Grüntenstraße	Bücherschrank	Höhe Café Elsässer, in der Nähe des Brauereigasthof Hirsch	Jan 2020			87527					
de.wiki_in_Bayern	Soyen			In der Raiffeisenbank	2012			83564					
de.wiki_in_Bayern	Starnberg	Kirchplatz  _ Bei Eiscafé "Eiswerkstatt"	Holzvitrine	Aufgestellt von der Stadt Starnberg, zusammen mit der Gruppe "Starnberger Bücherschrank"	Okt. 2019	47.9982633	11.3399077	82319					
de.wiki_in_Bayern	Starnberg	Vor Seebad Starnberg  _ Strandbadstraße 17, Starnberg	Holzvitrine	Aufgestellt von der Stadt Starnberg, zusammen mit der Gruppe "Starnberger Bücherschrank"	Okt. 2019	47.9986875	11.3539232	82319					
de.wiki_in_Bayern	Starnberg (Ortsteil Percha)	Seestub'n Percha  _ Schiffbauerweg 20 _ 82319 Starnberg-Percha _ Restaurant, Bar und Kiosk direkt am Starnberger See	Ehemaliger Kühlschrank (entkernt)	Aufgestellt auf Eigeninitiative von der Gruppe "Starnberger Bücherschrank" _ bemalt von Anja Moritz	Juli 2019	47.9955967	11.3572645	82319					
de.wiki_in_Bayern	Stein	 Nahe Hauptstraße (am Forum)	Telefonzelle	Bemalt von der Mittelschule Stein	2016	49.41273	11.01278	90547					
