id	title	lat	lon	address	type	open	comment	contact	bcz	digital	icontype	deactivated	deactreason	entrytype	homepage	Source
1378		55.792093	37.455869	. , . 30, . 2  , . , . 30, . 2, [trunc]				https://vk.com/club_fenixcc						bookcase	www.bookcrossing.com/hunt/22/13161/170158/776876	openbookcase.org
1379	High Roding telephone box book exchange	51.8312559498	0.325556	The Street, High Roding, Essex					1					bookcase		openbookcase.org
1380		53.73924635	27.685775	25,  -  , , 223070				8 (017) 5038428 , 8 (029) 5697759						bookcase		openbookcase.org
1381		59.118156	28.093425	.,19 , Leningrad Oblast 188560 Russia										bookcase	www.bookcrossing.com/hunt/22/13158/170296/777345	openbookcase.org
1382	«  / Coffee Piu»	55.762924	37.643575	, .9, . 1 Moscow, Moscow (Federal City) Russia										bookcase	www.bookcrossing.com/hunt/22/13161/31078/760684	openbookcase.org
1383		55.840259	37.547278	65 Moscow, Moscow (Federal City) 127276 Russia				http://www.oldbird.ru/						bookcase	www.bookcrossing.com/hunt/22/13161/31078/776867	openbookcase.org
1384		54.720379	55.945564	, . , 4 Ufa, Bashkortostan (Ufa) Republic Russia										bookcase	www.bookcrossing.com/hunt/22/9132/82165/777446	openbookcase.org
1385	- «  | Graf Cafe»	53.931184	27.64617	. , - , 116.     22  [trunc]				. . (017) -266-37-22	1					bookcase	www.bookcrossing.com/hunt/177/3650/165564/779090	openbookcase.org
1386	Kaarst Maubiscenter	51.2270643118	6.618791	Am Maubishof, 41564 Kaarst	gelbe Telefonzelle	24 / 7								bookcase		openbookcase.org
1387	Kaarst / Geschäftsstelle Grüne	51.231085	6.614408	Martinusstraße 4, 41564 Kaarst	Bücherschrank	Mo. ab 16 Uhr, Do. von 9 - 16 Uhr								bookcase		openbookcase.org
1388	Kaarst Hofladen Lammertzhof	51.206957	6.601737	Lammertzhof, 41564 Kaarst-Driesch	Bücherschrank	zu den Öffnungszeiten des Hofladens								bookcase		openbookcase.org
1389	Neubrücker öffentlicher Bücherschrank	50.9347566	7.061611	An St. Adelheid 14, 51109 Köln	Rollcontainer		im Vorraum der Sparkasse							bookcase		openbookcase.org
1390		54.822624	56.071563	., 32, ,	-			https://vk.com/vorlenke	1					bookcase	www.bookcrossing.com/hunt/22/9132/82165/773160	openbookcase.org
1391		53.9119883	27.594959	, .  9, 4-  ,  106  108					1					bookcase	www.bookcrossing.com/hunt/177/3650/165564/777761	openbookcase.org
1392		53.231314	50.25868	, 146 Samara, Samara Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13173/94450/777644	openbookcase.org
1396	«» ::  ””	53.9105264	27.575562	. , . , 37		11:00  22:00,    12:00  22:00								bookcase	bookcrossing.by/mesta/knigarnya-logvinau	openbookcase.org
1397	Bad Vilbel - Altes Rathaus	50.1836140084	8.744522	Frankfurter Straße, 61118 Bad Vilbel	rote Telefonzelle	24 / 7								bookcase		openbookcase.org
1398	Freiburg im Breisgau-Ebnet	47.987725	7.90537	Steinhalde, Freiburg im Breisgau-Ebnet	Telefonzelle	24 / 7								bookcase		openbookcase.org
1399	Schopfheim	47.64997199	7.821614		BOKX 02	24 / 7								bookcase		openbookcase.org
1400	BücherboXX - Ernst-Litfaß-Schule	52.598118	13.330235	Cyclopstraße 1-5, 13437 Berlin-Wittenau	Telefonzelle	zu den Schulöffnungszeiten	aufgestellt für Schüler der Ernst-Litfaß-Schule; Pflege durch die Schüler des OS[trunc]							bookcase		openbookcase.org
1401	New Time	55.16221	61.408387	, 48 Chelyabinsk, Chelyabinsk Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/8752/78662/777781	openbookcase.org
1402	Bücherdorf	53.09333	8.81333	Zwickauer Str. 19, 28215 Bremen	Bücherschrank	24 / 7								bookcase		openbookcase.org
1403	45	55.80732	37.462236	.  , .2 Moscow, Moscow (Federal City) Russia	.									bookcase	www.bookcrossing.com/hunt/22/13161/31078/777891	openbookcase.org
1404		47.568213	34.392453	Dnipropetrovsk, Dnipropetrovsk [trunc]										bookcase	www.bookcrossing.com/hunt/123/10502/96123/777705	openbookcase.org
1405		55.750584	37.643833	, .3, 1 Moscow, Moscow (Federal City) Russia										bookcase	www.bookcrossing.com/hunt/22/13161/31078/778086	openbookcase.org
1406	Ye bookstore	50.447797	30.512359	Lysenka 3 Kyiv, Kyiv Ukraine										bookcase	www.bookcrossing.com/hunt/123/1194/123173/550964	openbookcase.org
1407	CleverClub	55.734592	37.617289					https://vk.com/clever_c						bookcase	www.bookcrossing.com/hunt/22/13161/31078/778102	openbookcase.org
1408	Coffee Porappo	53.91079835	27.576543	1,			http://koko.by/cafehouse/12834.html	https://vk.com/coffeecoffeeminsk						bookcase	vk.com/coffeecoffeeminsk	openbookcase.org
1409	- I	53.9078349	27.571607	31,		10:00  18:00								bookcase	afisha.adva.by/places/viewgroup/184-dommuzej-I-sezda-rsdrp	openbookcase.org
1410	Öffentlicher Bücherschrank FREIMANN an der Mohr-Villa	48.1939498841	11.618466	Situlistr. 75, 80939 München	Offener Bücherschrank, direkt vor der Villa	24/7	hin und wieder auch Brettspiele	treffpunkt@mohr-villa.de						bookcase		openbookcase.org
1411	Matavai Resort	-19.110719	-169.913778	Alofi, Niue Niue										bookcase	www.bookcrossing.com/hunt/294/13631/127758/778146	openbookcase.org
1412	Alliance Française Library	23.015719	72.529512	B/S Food Corporation of India,Himali Tower Lane Ahmedabad, Gujarat 380015 India										bookcase	www.bookcrossing.com/hunt/20/911/159330/778112	openbookcase.org
1413		53.346773	83.779657	.,54 Barnaul, Altay (Barnaul) Kray 656038 Russia										bookcase	www.bookcrossing.com/hunt/22/13212/123374/778172	openbookcase.org
1414		50.446038	30.515669											bookcase	www.bookcrossing.com/hunt/123/1194/123173/777688	openbookcase.org
1415		50.450851	30.464745											bookcase	www.bookcrossing.com/hunt/123/1194/123173/778164	openbookcase.org
1416	Towcester Mill Brewery OBCZ	52.1324762	-0.987548	Chantry Lane, Towcester					1					bookcase	www.bookcrossing.com/mybookshelf/OBCZ-TowMill/	openbookcase.org
1417	Niederheimbach (Innogy)	50.032942	7.803886	Heimbachtal 32, 55413 Niederheimbach	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE							bookcase	bit.ly/innogycases	openbookcase.org
1418	12	53.9128197211	27.500013	,  18-3		10.00  19.00,   10.00  18.00 ,  – ,   –[trunc]	:     .   28, 49, 50, 62, 7[trunc]	. 204-08-18   –						bookcase	childlib.by/lib/13	openbookcase.org
1421	14	53.867996	27.674358	,  11.     ,  [trunc]		10.00  19.00,   10.00  18.00 ,  – ,   –[trunc]		(017)243-85-56, 242-33-84   biblioteka14@tut.by     –[trunc]	1					bookcase	childlib.by/lib/15	openbookcase.org
1422	Tiraine	56.886772	24.073641	Tiraine Riga, Riga Latvia										bookcase	www.bookcrossing.com/hunt/208/5595/51523/778288	openbookcase.org
1423		48.710858	44.530613	Volgograd, Volgograd Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13183/117530/778470	openbookcase.org
1424	Buchhaltestelle Biesenthal	52.7554802855	13.674358		Gelbe Telefonzelle		Eintrag entsprechend Medienbericht  http://www.odftv.de/archiv/Buchhaltestelle_B[trunc]							bookcase		openbookcase.org
1426	Lenin Library	53.90717	30.336449	Krylenko 8, Mohiljow	shelves	9-20 except saturday								bookcase		openbookcase.org
1427	, littlefreelibrary	53.9043128733	27.552681	, ,3  , .22		11:00 - 19:00	http://littlefreelibrary.org/	+375445648648    +375336648648 malyshi.by	1					bookcase	www.bookcrossing.com/hunt/177/3650/165564/778887	openbookcase.org
1428	«»	53.9233113	27.600331	,  14		., ., ., ., . 8:00-16:00                  ., .  17:00-00:00		+375 29 651-91-19	1					bookcase		openbookcase.org
1429	Weilroder Bücher-Tausch-Rausch	50.337207	8.382721	Im Grund 1, 61276 Weilrod	Bücherregal im REWE	Mo - Sa: 07:00 - 21:00 Uhr		Rewe-Weiß OHG						bookcase	www.facebook.com/events/1442177629408114/	openbookcase.org
1430		53.9179034103	27.617902	, 84		-   12  23   12     12  3 )			1					bookcase	bookcrossing.by/mesta/dom-fishera	openbookcase.org
1431	Heckenbeck - Bad Gandersheim	51.8855345054	9.961467		selbstgebaut	24 / 7								bookcase		openbookcase.org
1432	Namaste	56.745628	38.883222	26 -, Yaroslavl Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/10980/170941/779043	openbookcase.org
1433		52.678776	38.595743	., .18 .-, Lipetsk Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13159/170930/778992	openbookcase.org
1434		55.753709	52.424462	21-  Naberezny Chelny, Tatarstan Republic 423821 Russia										bookcase	www.bookcrossing.com/hunt/22/10547/94672/779051	openbookcase.org
1435	128	55.702001	37.745982	8- . , 14 Moscow, Moscow (Federal City) Russia										bookcase	www.bookcrossing.com/hunt/22/13161/31078/779227	openbookcase.org
1436		51.667058991	39.201751	Voronezh, Voronezh Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13185/105500/779174	openbookcase.org
1438	Veit-Stoß-Anlage	49.451485	11.053314				Aufgestellt von der Bürgerstiftung Nürnberg.							bookcase	www.buergerstiftung-nuernberg.de/projekte/eigene-projekte/oeffentliche-buechersc[trunc]	openbookcase.org
1439		59.9006577368	30.486653	-,   27		09:00-23:59	,    (1 ).	+79818909120, , vk.com/tksmile						bookcase	www.bookcrossing.com/hunt/22/926/40152/779350	openbookcase.org
1440	Russian State Library	55.751795	37.609624	Russian State Library					1					bookcase	www.bookcrossing.com/hunt/22/13161/31078/779355	openbookcase.org
1441	(      [trunc]	53.9466087877	27.699087	.  15,				,   ,   ,     [trunc]	1					bookcase	bookcrossing.by/mesta/boss	openbookcase.org
1442	Bochum-Ehrenfeld	51.47251	7.2142	Hans-Ehrenberg-Platz	Schrank (4 Fächer hinten und vorne)	24/7	Ein Projekt der Auszubildenden der USB Bochum GmbH (laut Aufschrift).	USB						bookcase		openbookcase.org
1443	Buchregal des Schwesternhausvereines e.V.	52.3690274	9.767602	Schwesternhausstraße 10, 30173 Hannover	Buchregal	tagsüber	Eingang Ecke Kippstraße, 2. OG Wir sind ein selbstverwaltetes Studentenwohnheim.[trunc]							bookcase	www.schwesternhaus.de	openbookcase.org
1444		57.146089	65.542578	Tyumen, Tyumen Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13180/123431/779545	openbookcase.org
1445		55.760036	37.625256											bookcase	www.bookcrossing.com/hunt/22/13161/31078/779467	openbookcase.org
1446		55.758856	37.61148	, .7 Moscow, Moscow (Federal City) Russia								1	-- DI Telegraph	bookcase	www.bookcrossing.com/hunt/22/13161/31078/779547	openbookcase.org
1447		55.776823	37.65521											bookcase	www.bookcrossing.com/hunt/22/13161/31078/779097	openbookcase.org
1448		51.777539	55.092761	, .										bookcase	www.bookcrossing.com/hunt/22/13167/137929/779660	openbookcase.org
1449		55.735707	37.592742											bookcase	www.bookcrossing.com/hunt/22/13161/31078/779500	openbookcase.org
1450		49.218228	28.422296											bookcase	www.bookcrossing.com/hunt/123/10513/94198/779494	openbookcase.org
1451	Essen Grugapark / Kranichwiese (Innogy)	51.4305043376	6.991752	Virchowstr. 167, 45147 Essen	Innogy Bücherschrank (BOKX) mit Bank	24 / 7	gestiftet von der Innogy SE							bookcase	bit.ly/innogycases	openbookcase.org
1452	Bad Berleburg (Innogy)	51.0486672	8.391333	Poststraße 51, 57319 Bad Berleburg	Innogy Bücherschrank (BOKX)	24 / 7	gestiftet von der Innogy SE							bookcase	bit.ly/innogycases	openbookcase.org
1453		53.695995	23.848175	. , .  28 ( )				8 0152 720438						bookcase	www.bookcrossing.com/hunt/177/9507/173804/788600	openbookcase.org
1454	.	51.806877	55.142934	Orenburg City, Orenburg Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13167/137929/768873	openbookcase.org
1455	Büchertelefonzelle Nürtingen	48.626208	9.340423	Kirchstraße, Nürtingen	Telefonzelle	24/7	vor Kaufhaus Hauber							bookcase		openbookcase.org
1456	-10	53.9267759	27.688815	10,					1					bookcase	www.bookcrossing.com/hunt/177/3650/40168/746554	openbookcase.org
1457	-	52.0952322486	23.689469	19,		-:  8.30  19.00, :  10.00  18.00			1					bookcase		openbookcase.org
1458	. .	52.0978879	23.697328	48,										bookcase	brl.by/	openbookcase.org
1459	Munch	51.5535191	0.609636	216 London Road, Hadleigh, Essex					1					bookcase	www.facebook.com/munchhadleigh	openbookcase.org
1460		60.709162	28.742316	, 11 Vyborg, Leningrad Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13158/166000/778762	openbookcase.org
1461		47.107727	37.555132	Donetsk, Donetsk Ukraine										bookcase	www.bookcrossing.com/hunt/123/9182/82688/780081	openbookcase.org
1462	Port  Muscat	23.62467	58.570948	Port  Muscat, Muscat Oman										bookcase	www.bookcrossing.com/hunt/144/3837/40793/779239	openbookcase.org
1463		59.950291	30.316402	-, Leningrad Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13158/167867/779997	openbookcase.org
1464		53.6849412	23.840092	22,										bookcase		openbookcase.org
1472	20	54.7157527826	55.99872	, 24 .1,		11-19			1					bookcase	www.bookcrossing.com/hunt/22/9132/82165/768552	openbookcase.org
1473	-	54.69244355	56.004434	-, , , 2					1					bookcase	www.bookcrossing.com/hunt/22/9132/82165/763487	openbookcase.org
1474		54.7219775248	55.938359	.  9/1,					1					bookcase	www.bookcrossing.com/hunt/22/9132/82165/763488	openbookcase.org
1475		59.931705	30.354345	,69 -, Leningrad Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13158/167867/779998	openbookcase.org
1476		57.619597	39.874127	46 Yaroslavl, Yaroslavl Oblast Russia				https://vk.com/salat_cafe						bookcase	www.bookcrossing.com/hunt/22/10980/118873/780242	openbookcase.org
1477	Bücherschrank (gesponsert von Heidt Immobilien Service)	52.4186396282	13.589058											bookcase	www.heidt-immobilien.de/	openbookcase.org
1478		59.94096	30.313318											bookcase	www.bookcrossing.com/hunt/22/13158/167867/780004	openbookcase.org
1479	50	49.996419	36.340874	. 50   .  Kharkiv, Kharkiv Ukraine										bookcase	www.bookcrossing.com/hunt/123/9087/81606/779148	openbookcase.org
1480		59.946823	30.396616	,  1 -, Leningrad Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13158/167867/780005	openbookcase.org
1481		59.9373299287	30.327652	, 2 -, Leningrad Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13158/167867/780006	openbookcase.org
1482	Eco Buffet	50.393534	30.490644	28,		-: 9:00-20:30, -: 10:30-20:30		+38-067-322-41-08						givebox	www.eco-buffet.com/bookcrossing	openbookcase.org
1483		59.944351	30.307331	´ ´ -, Leningrad Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13158/167867/780008	openbookcase.org
1484	/ 12	56.837879	60.65724	4  Ekaterinburg, Sverdlovsk (Yekaterinburg) Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13175/106348/780509	openbookcase.org
1485	Friendzone	53.417589	58.982323	, 33 Magnitogorsk, Chelyabinsk Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/8752/135758/780526	openbookcase.org
1486		59.799771	30.272613	Saint Petersburg, -- Airports & Planes -- Russia										bookcase	www.bookcrossing.com/hunt/22/11160/171247/780010	openbookcase.org
1487		59.931514	30.309005	3 -, Leningrad Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13158/167867/780009	openbookcase.org
1488	-	51.644082	39.138472											bookcase	www.bookcrossing.com/hunt/22/13185/105500/780481	openbookcase.org
1489	-	50.449686	30.462089	.  371 Kyiv, Kyiv Ukraine										bookcase	www.bookcrossing.com/hunt/123/1194/123173/780288	openbookcase.org
1490		59.93263	30.297847	Konnogvaedeyskiy bulvar 4 St. Petersburg, St. Petersburg (Federal City) Russia										bookcase	www.bookcrossing.com/hunt/22/926/40152/780571	openbookcase.org
1491	(   )	55.829758	37.632036											bookcase	www.bookcrossing.com/hunt/22/13161/31078/780589	openbookcase.org
1493	Lesesaal im Rathaus Rottach-Egern	47.690248	11.770338	Nördliche Hauptstrasse 9	Holzschrank im Lesesaal	Mo - Fr 8-18 Uhr; Sa, So und Feiertags von 9 - 18 Uhr	Besonders geeignet für Bücher von Ludwig Thoma und Ludwig Ganghofer die in Egern[trunc]	über Rathausverwaltung						bookcase		openbookcase.org
1494	Lesesaal in Bibliothek / Rathaus Tegernsee	47.709325	11.752651		Holzregal im Lesesaal	Mo - Fr 9 - 18 Uhr - Sa + So. 10 - 17 Uhr	Im öffentlichen Lesesaal dicht an der Uferpromenade. Fasst ca. 100 - 150 Bücher.	Büchereipersonal						bookcase		openbookcase.org
1495	Eco Buffet	50.438542	30.515674	Vasilkovskaya 28 TC Vasilkovskiy Kyiv, Kyiv Ukraine										bookcase	www.bookcrossing.com/hunt/123/1194/123173/780670	openbookcase.org
1496	. . .	55.781379	37.602178	, 14 . , , 14, Moscow (Federal City) Russia										bookcase	www.bookcrossing.com/hunt/22/13161/171425/780679	openbookcase.org
1497	Plaza Merliot	13.696401	-89.199672	Santa Tecla, La Libertad El Salvador										bookcase	www.bookcrossing.com/hunt/167/9858/116211/780646	openbookcase.org
1498		57.000912	40.979261	,9 Ivanovo, Ivanovo Oblast 153000 Russia										bookcase	www.bookcrossing.com/hunt/22/10977/117824/779678	openbookcase.org
1499		61.791322	34.346378	. .9 Petrozavodsk, Kareliya (Petrozavodsk) Republic Russia				https://vk.com/puretaste						bookcase	www.bookcrossing.com/hunt/22/13198/121782/780733	openbookcase.org
1500	- -	55.573799	42.044345	, . 1 , Vladimir Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13182/168273/780739	openbookcase.org
1501	5	53.250137	50.224514	391    Samara, Samara Oblast 443114 Russia										bookcase	www.bookcrossing.com/hunt/22/13173/94450/697547	openbookcase.org
1502		55.4814982366	38.922844	, .  8			.	http://art-guslitsa.ru/	1					bookcase	www.bookcrossing.com/hunt/22/769/171491/780849	openbookcase.org
1503	Little Free Library at Folly Hill, Farnham	51.2204422	-0.80308	Folly Hill, Farnham	Little Free Library									bookcase	www.facebook.com/pages/Little-Free-Library-Folly-Hill-Farnham/542029629239691	openbookcase.org
1504	Go! English	51.36383	45.827097	. , .  30,  405 Saratov, Saratovskaya Oblast Russia				https://vk.com/goenglishsaratov						bookcase	www.bookcrossing.com/hunt/22/8540/105015/779538	openbookcase.org
1505	24	53.329063	83.761691	., 250 Barnaul, Altay (Barnaul) Kray Russia				https://vk.com/tvkatun24						bookcase	www.bookcrossing.com/hunt/22/13212/123374/780896	openbookcase.org
1506	Bücherschrank Klein-Karben	50.22653	8.77382	Rathausstraße 35, 61184 Karben	Regal mit Glastüren	24 / 7	im Eingangsbereich des alten Rathauses in Klein-Karben							bookcase		openbookcase.org
1507	-	53.2374823153	50.240586	255 Samara, Samara Oblast Russia				http://www.labirint.ru/help/?cardhelp=545						bookcase	www.bookcrossing.com/hunt/22/13173/94450/780905	openbookcase.org
1508		56.8320710883	60.596359											bookcase	www.bookcrossing.com/hunt/22/13175/106348/765381	openbookcase.org
1509	Offener Bücherschrank Flehingen	49.086747	8.781799	Franz-von-Sickingen-Straße	Umgebaute Telefonzelle, rot	24/7	Position ungenau, bitte ggf. korrigieren	Gemeinde Oberderdingen						bookcase	www.oberderdingen.de/news?action=view_one_article&article_id=8653	openbookcase.org
1510	Öffentlicher Bücherschrank  Nördlingen	48.852634	10.490774	Löpsinger Straße, Nördlingen	Schrank	24/7		Stadtmarketing Nördlingen						bookcase	www.noerdlingen.biz/oeffentlicher_buecherschrank/	openbookcase.org
1511	-	53.9059865	27.45942	8 ,				+375295701583 +375336908969	1					bookcase	vk.com/damassster1	openbookcase.org
1512		53.87702945	27.552196	. , 50,  4,   .				minsknews.by/blog/2015/06/10/kniga-naprokat-v-minske-vse-bolee-populyarnyim-stan[trunc]						bookcase	www.bookcrossing.com/hunt/177/3650/165564/784874	openbookcase.org
1513	( [trunc]	53.9117991173	27.590001	, 17,		10:00-21:00		+375257237025						bookcase	vk.com/octopus2015	openbookcase.org
1514	OBCZ Unibibliothek Clausthal	51.801106	10.341163	Leibnizstr. 2, 38678 Clausthal-Zellerfeld		Mo-Fr 9.00 – 21.00 Uhr, Sa + So 10.00 – 19.00 Uhr	In der Cafeteria im Erdgeschoss, gleich am Eingang.	bookcrossing@ub.tu-clausthal.de	1					bookcase	www.ub.tu-clausthal.de/bookcrossing/	openbookcase.org
1515		61.289716	73.323242	, 23 Surgut, Khanty-Mansi (Khanty-Mansiysk) Okrug Russia										bookcase	www.bookcrossing.com/hunt/22/13209/136178/781089	openbookcase.org
1516		55.82983	49.10614	-  Kazan, Tatarstan Republic Russia										bookcase	www.bookcrossing.com/hunt/22/10547/160134/781131	openbookcase.org
1517		53.241142	50.275755	- 29 Samara, Samara Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13173/94450/781063	openbookcase.org
1518	. ..	55.76711	37.678825	.58/25, . 14 Moscow, Moscow (Federal City) Russia										bookcase	www.bookcrossing.com/hunt/22/13161/31078/781198	openbookcase.org
1519		53.214453	50.185332	5 Samara, Samara Oblast Russia										bookcase	www.bookcrossing.com/hunt/22/13173/94450/781235	openbookcase.org
